amfi_code,scheme_name,records,start_date,end_date,latest_nav,min_nav,max_nav,status
125497,HDFC_Top100_Direct,4579,2013-11-18,2026-06-01,192.3195,12.7775,214.6767,SUCCESS
119551,SBI_Bluechip_Direct,4899,2013-01-02,2026-06-01,104.7025,102.2299,161.3775,SUCCESS
120503,ICICI_Bluechip_Direct,4899,2013-01-02,2026-06-01,103.0948,13.6318,113.6849,SUCCESS
118632,Nippon_LargeCap_Direct,4899,2013-01-02,2026-06-01,97.1944,12.2191,106.1272,SUCCESS
119092,Axis_Bluechip_Direct,4901,2012-12-31,2026-06-01,6156.7532,23.992,6156.7532,SUCCESS
120841,Kotak_Bluechip_Direct,4894,2013-01-07,2026-06-01,246.9814,30.5643,281.1083,SUCCESS
